alpha,I
1.566,50.7
1.561,54.3
1.556,54
1.55,50.5
1.545,45.3
1.54,39.8
1.534,34.7
1.529,30.6
1.524,27.4
1.518,24.7
1.513,22.8
1.508,21.1
1.502,19.5
1.497,18
1.492,16.8
1.486,15.7
1.481,14.8
1.476,14
1.47,13.2
1.465,12.4
1.46,12
1.454,11.5
1.449,11.1
1.444,10.7
1.438,10.3
1.433,9.9
1.428,9.6
1.422,9.6
1.417,9.5
1.411,9.3
1.406,9.3
1.401,9.3
1.395,9.3
1.39,9.3
1.385,9.3
1.379,9.6
1.374,9.9
1.369,10.3
1.363,10.8
1.358,11.2
1.353,12
1.347,12.8
1.342,14
1.337,15.3
1.331,17
1.326,19
1.321,21.5
1.315,24.6
1.31,28.6
1.305,33.6
1.299,40.2
1.294,48.1
1.289,56.3
1.283,63.5
1.278,68.3
1.273,70.2
1.267,68.9
1.262,65.1
1.256,59.7
1.251,53.8
1.246,48
1.24,42.8
1.235,38.2
1.23,34.3
1.224,31.1
1.219,28.6
1.214,26.6
1.208,25
1.203,23.5
1.198,22.3
1.192,21.1
1.187,20
1.182,18.9
1.176,18
1.171,17.1
1.166,16.3
1.16,15.6
1.155,14.9
1.15,14.4
1.144,14
1.139,13.6
1.134,13.2
1.128,12.8
1.123,12.4
1.118,12
1.112,11.6
1.107,11.6
1.101,11.3
1.096,11.2
1.091,11
1.085,10.9
1.08,10.8
1.075,10.8
1.069,10.8
1.064,10.8
1.059,10.8
1.053,10.8
1.048,10.8
1.043,11.2
1.037,11.3
1.032,11.7
1.027,12.1
1.021,12.5
1.016,12.9
1.011,13.6
1.005,14.4
1,15.2
0.995,16.1
0.989,17.3
0.984,18.6
0.979,20.2
0.973,22.1
0.968,24.1
0.962,26.6
0.957,29.8
0.952,33.6
0.946,38.2
0.941,43.7
0.936,50.2
0.93,57.4
0.925,64.8
0.92,71.9
0.914,78.3
0.909,82.8
0.904,86.8
0.898,88.4
0.893,88.8
0.888,87.3
0.882,84.5
0.877,80.6
0.872,76.1
0.866,71.3
0.861,66.4
0.856,61.6
0.85,57
0.845,52.7
0.84,48.8
0.834,45.2
0.829,42.1
0.823,39.3
0.818,36.7
0.813,34.4
0.807,32.4
0.802,30.4
0.797,28.8
0.791,27.5
0.786,26.3
0.781,25.1
0.775,24.1
0.77,23.2
0.765,22.4
0.759,21.6
0.754,20.9
0.749,20.4
0.743,19.7
0.738,19.1
0.733,18.6
0.727,18.1
0.722,17.6
0.717,17.2
0.711,16.5
0.706,16.1
0.701,15.7
0.695,15.3
0.69,15
0.684,14.6
0.679,14.3
0.674,14
0.668,13.7
0.663,13.6
0.658,13.3
0.652,13.1
0.647,12.9
0.642,12.8
0.636,12.6
0.631,12.4
0.626,12.2
0.62,12
0.615,12
0.61,11.8
0.604,11.7
0.599,11.6
0.594,11.6
0.588,11.6
0.583,11.6
0.578,11.6
0.572,11.6
0.567,11.6
0.561,11.6
0.556,11.6
0.551,11.6
0.545,11.6
0.54,11.6
0.535,11.6
0.529,11.6
0.524,11.6
0.519,11.7
0.513,11.9
0.508,12.1
0.503,12.3
0.497,12.4
0.492,12.4
0.487,12.7
0.481,12.8
0.476,13.1
0.471,13.3
0.465,13.6
0.46,14
