alpha,I
3.163,2.4
3.157,2.4
3.152,2.2
3.147,2.2
3.141,2.3
3.136,2.5
3.131,2.8
3.125,2.8
3.12,2.8
3.115,2.9
3.109,3.3
3.104,3.6
3.099,3.5
3.093,3.3
3.088,3.2
3.083,3.2
3.077,3.2
3.072,3.2
3.067,3.2
3.061,3.2
3.056,3.2
3.051,3.2
3.045,3.1
3.04,2.9
3.035,2.8
3.029,2.8
3.024,2.8
3.019,2.8
3.013,2.8
3.008,2.8
3.003,3.3
2.997,3.7
2.992,3.8
2.987,3.9
2.981,4
2.976,4.4
2.971,4.4
2.965,4
2.96,3.6
2.955,3.4
2.949,3.2
2.944,3.2
2.939,3.2
2.933,3.2
2.928,3.2
2.923,3.2
2.917,3.2
2.912,3.2
2.907,3.2
2.901,3.2
2.896,3.2
2.891,3.2
2.885,3.2
2.88,3.2
2.875,3.2
2.869,3.6
2.864,4.4
2.859,4.8
2.853,4.8
2.848,4.8
2.843,4.8
2.837,5.2
2.832,5.2
2.827,4.8
2.821,4.4
2.816,4
2.811,3.7
2.805,3.7
2.8,3.7
2.795,3.7
2.789,3.7
2.784,3.7
2.779,3.7
2.773,3.7
2.768,3.7
2.763,3.6
2.757,3.2
2.752,3.2
2.747,3.2
2.741,3.2
2.736,3.6
2.731,4
2.725,4.4
2.72,5.2
2.715,6
2.709,6
2.704,6
2.699,6
2.693,6.4
2.688,6.7
2.683,6.4
2.677,5.6
2.672,4.9
2.667,4.5
2.661,4.1
2.656,4
2.651,4
2.645,4
2.64,4
2.635,4
2.629,4
2.624,4
2.619,4
2.613,4
2.608,4
2.602,4
2.597,4
2.592,4
2.586,4
2.581,4.4
2.576,4.8
2.57,5.6
2.565,6.7
2.56,7.3
2.554,7.3
2.549,7.3
2.544,7.3
2.538,7.7
2.533,8
2.528,7.8
2.522,7
2.517,6.1
2.512,5.3
2.506,4.8
2.501,4.4
2.496,4
2.49,4
2.485,4
2.48,4
2.474,4
2.469,4
2.464,4
2.458,4
2.453,4
2.448,4
2.442,4
2.437,4
2.432,4.3
2.426,4.4
2.421,4.8
2.416,5.2
2.41,6
2.405,7.2
2.4,8.4
2.394,8.8
2.389,8.8
2.384,8.8
2.378,9.1
2.373,9.4
2.368,9.8
2.362,9.6
2.357,8.8
2.352,7.6
2.346,6.7
2.341,5.9
2.336,5.2
2.33,4.8
2.325,4.4
2.32,4.4
2.314,4.3
2.309,4.3
2.304,4.3
2.298,4.3
2.293,4.3
2.288,4.3
2.282,4.4
2.277,4.4
2.272,4.6
2.266,4.7
2.261,4.8
2.256,5
2.25,5.4
2.245,6
2.24,6.8
2.234,8
2.229,9.6
2.223,10.8
2.218,11.2
2.213,11.3
2.207,11.4
2.202,11.7
2.197,12.4
2.191,12.8
2.186,12.8
2.181,12
2.175,10.8
2.17,9.6
2.165,8.4
2.159,7.4
2.154,6.6
2.149,6
2.143,5.6
2.138,5.2
2.133,4.8
2.127,4.8
2.122,4.8
2.117,4.8
2.111,4.8
2.106,4.7
2.101,4.7
2.095,4.7
2.09,4.8
2.085,4.8
2.079,5.1
2.074,5.2
2.069,5.6
2.063,6
2.058,6.8
2.053,7.7
2.047,9.3
2.042,11.2
2.037,13
2.031,13.9
2.026,14
2.021,13.9
2.015,13.9
2.01,14.3
2.005,15.1
1.999,16
1.994,16
1.989,15.2
1.983,13.7
1.978,12
1.972,10.5
1.967,9.3
1.962,8.4
1.956,7.6
1.951,6.8
1.946,6.2
1.94,5.8
1.935,5.4
1.93,5.2
1.924,5.1
1.919,5
1.914,4.9
1.908,4.8
1.903,4.8
1.898,4.8
1.892,4.8
1.887,4.9
1.882,5.1
1.876,5.2
1.871,5.6
1.866,6
1.86,6.4
1.855,7.2
1.85,8
1.844,9.6
1.839,11.7
1.834,14.4
1.828,16.8
1.823,18
1.818,18.1
1.812,17.7
1.807,17.3
1.802,17.5
1.796,18.3
1.791,19.7
1.786,20.9
1.78,21.3
1.775,20.4
1.769,18.7
1.764,16.7
1.759,14.7
1.753,13.1
1.748,11.7
1.743,10.5
1.737,9.7
1.732,8.9
1.727,8.2
1.721,7.8
1.716,7.4
1.711,7
1.705,6.7
1.7,6.4
1.695,6.4
1.689,6.3
1.684,6.1
1.679,6
1.673,6
1.668,6
1.663,6
1.657,6
1.652,6.1
1.647,6.4
1.641,6.8
1.636,7.2
1.631,7.6
1.625,8.2
1.62,9.1
1.615,10.5
1.609,12.7
1.604,15.5
1.599,18.8
1.593,22.1
1.588,24.4
1.582,25.2
1.577,24.6
1.572,23.6
1.566,22.9
1.561,23.1
1.556,24.3
1.55,26.3
1.545,28.4
1.54,29.6
1.534,29.5
1.529,28
1.524,25.5
1.518,22.8
1.513,20.1
1.508,17.9
1.502,16
1.497,14.4
1.492,13.2
1.486,12.4
1.481,11.6
1.476,10.8
1.47,10
1.465,9.6
1.46,9.2
1.454,8.8
1.449,8.4
1.444,8.1
1.438,7.9
1.433,7.6
1.428,7.6
1.422,7.5
1.417,7.5
1.411,7.4
1.406,7.4
1.401,7.4
