alpha,I
5.459,0.3
5.454,0.3
5.449,0.3
5.443,0.3
5.438,0.3
5.433,0.3
5.428,0.2
5.422,0.2
5.417,0.1
5.412,0.1
5.406,0.1
5.401,0.1
5.396,0.1
5.39,0.1
5.385,0.1
5.38,0.1
5.375,0.1
5.369,0.1
5.364,0.1
5.359,0.1
5.353,0.1
5.348,0.1
5.343,0.1
5.337,0.1
5.332,0.1
5.327,0.1
5.322,0.1
5.316,0.1
5.311,0.1
5.306,0.1
5.3,0.1
5.295,0.1
5.29,0.1
5.284,0.1
5.279,0.1
5.274,0.1
5.269,0.1
5.263,0.1
5.258,0.1
5.253,0.1
5.247,0.1
5.242,0.1
5.237,0.1
5.231,0.1
5.226,0.1
5.221,0.1
5.216,0.1
5.21,0.1
5.205,0.1
5.2,0.1
5.194,0.1
5.189,0.1
5.184,0.1
5.178,0.1
5.173,0.1
5.168,0.1
5.162,0.1
5.157,0.1
5.152,0.1
5.147,0.1
5.141,0.1
5.136,0.1
5.131,0.1
5.125,0.1
5.12,0.1
5.115,0.1
5.109,0.1
5.104,0.1
5.099,0.2
5.094,0.2
5.088,0.2
5.083,0.3
5.078,0.3
5.072,0.3
5.067,0.3
5.062,0.3
5.056,0.3
5.051,0.3
5.046,0.3
5.04,0.3
5.035,0.3
5.03,0.3
5.025,0.3
5.019,0.4
5.014,0.4
5.009,0.4
5.003,0.4
4.998,0.4
4.993,0.4
4.987,0.4
4.982,0.4
4.977,0.4
4.971,0.4
4.966,0.4
4.961,0.4
4.956,0.4
4.95,0.4
4.945,0.4
4.94,0.4
4.934,0.4
4.929,0.4
4.924,0.4
4.918,0.4
4.913,0.4
4.908,0.4
4.902,0.4
4.897,0.4
4.892,0.4
4.887,0.4
4.881,0.4
4.876,0.4
4.871,0.4
4.865,0.4
4.86,0.4
4.855,0.4
4.849,0.4
4.844,0.4
4.839,0.4
4.833,0.4
4.828,0.4
4.823,0.4
4.818,0.4
4.812,0.4
4.807,0.4
4.802,0.4
4.796,0.4
4.791,0.4
4.786,0.4
4.78,0.4
4.775,0.4
4.77,0.4
4.764,0.5
4.759,0.5
4.754,0.5
4.748,0.5
4.743,0.7
4.738,0.8
4.733,0.8
4.727,0.8
4.722,0.8
4.717,0.6
4.711,0.6
4.706,0.5
4.701,0.4
4.695,0.4
4.69,0.5
4.685,0.7
4.679,0.8
4.674,0.8
4.669,0.8
4.663,0.8
4.658,0.8
4.653,0.8
4.648,0.8
4.642,0.8
4.637,0.8
4.632,0.8
4.626,0.8
4.621,0.7
4.616,0.7
4.61,0.6
4.605,0.6
4.6,0.8
4.594,0.8
4.589,0.8
4.584,0.8
4.578,0.8
4.573,0.8
4.568,0.8
4.563,0.8
4.557,0.8
4.552,0.8
4.547,0.8
4.541,0.8
4.536,0.7
4.531,0.7
4.525,0.6
4.52,0.6
4.515,0.6
4.509,0.8
4.504,0.8
4.499,0.8
4.493,0.8
4.488,0.8
4.483,0.8
4.478,0.8
4.472,0.9
4.467,0.9
4.462,0.8
4.456,0.8
4.451,0.8
4.446,0.8
4.44,0.7
4.435,0.7
4.43,0.7
4.424,0.8
4.419,0.8
4.414,0.8
4.408,0.8
4.403,0.8
4.398,0.8
4.392,0.8
4.387,0.9
4.382,1.1
4.377,1.1
4.371,1.1
4.366,1
4.361,0.8
4.355,0.8
4.35,0.8
4.345,0.8
4.339,0.8
4.334,0.8
4.329,0.8
4.323,0.8
4.318,1.1
4.313,1.1
4.307,1.2
4.302,1.2
4.297,1.2
4.291,1.2
4.286,1.3
4.281,1.3
4.275,1.2
4.27,1.2
4.265,1.1
4.26,0.8
4.254,0.8
4.249,0.8
4.244,0.8
4.238,0.8
4.233,0.9
4.228,1.2
4.222,1.2
4.217,1.2
4.212,1.2
4.206,1.2
4.201,1.3
4.196,1.4
4.19,1.6
4.185,1.6
4.18,1.5
4.174,1.2
4.169,1.2
4.164,1
4.158,0.9
4.153,0.8
4.148,0.8
4.143,0.8
4.137,0.9
4.132,1.2
4.127,1.2
4.121,1.3
4.116,1.6
4.111,1.6
4.105,1.6
4.1,1.6
4.095,1.6
4.089,1.6
4.084,1.6
4.079,1.6
4.073,1.3
4.068,1.2
4.063,1.2
4.057,1.1
4.052,1.1
4.047,1.1
4.041,1.1
4.036,1.1
4.031,1.3
4.025,1.3
4.02,1.5
4.015,1.6
4.009,1.6
4.004,1.8
3.999,2
3.994,2
3.988,2
3.983,2
3.978,1.6
3.972,1.6
3.967,1.3
3.962,1.2
3.956,1.2
3.951,1.2
3.946,1.2
3.94,1.2
3.935,1.2
3.93,1.5
3.924,1.6
3.919,1.7
3.914,2
3.908,2
3.903,2
3.898,2
3.892,2
3.887,2
3.882,2
3.876,2
3.871,1.8
3.866,1.6
3.86,1.5
3.855,1.2
3.85,1.2
3.844,1.2
3.839,1.2
3.834,1.2
3.829,1.5
3.823,1.6
3.818,1.9
3.813,2
3.807,2
3.802,2.2
3.797,2.4
3.791,2.4
3.786,2.4
3.781,2.4
3.775,2.4
3.77,2.2
3.765,2
3.759,1.8
3.754,1.6
3.749,1.6
3.743,1.6
3.738,1.5
3.733,1.5
3.727,1.5
3.722,1.6
3.717,1.7
3.711,2
3.706,2
3.701,2.2
3.695,2.4
3.69,2.4
3.685,2.4
3.679,2.4
3.674,2.4
3.669,2.4
3.663,2.4
3.658,2.4
3.653,2.4
3.647,2.2
3.642,2
3.637,2
3.632,1.9
3.626,1.9
3.621,1.9
3.616,2
3.61,2
3.605,2.1
3.6,2.3
3.594,2.4
3.589,2.4
3.584,2.7
3.578,2.8
3.573,2.8
3.568,2.8
3.562,2.8
3.557,2.8
3.552,2.8
3.546,2.8
3.541,2.8
3.536,2.4
3.53,2.4
3.525,2.4
3.52,2.4
3.514,2.4
3.509,2.4
3.504,2.4
3.498,2.4
3.493,2.4
3.488,2.4
3.482,2.4
3.477,2.7
3.472,2.8
3.466,3.1
3.461,3.2
3.456,3.3
3.45,3.3
3.445,3.3
3.44,3.3
3.434,3.2
3.429,3.2
3.424,3
3.418,2.8
3.413,2.8
3.408,2.8
3.402,2.8
3.397,2.8
3.392,2.8
3.386,2.8
3.381,2.8
3.376,2.8
3.37,2.8
3.365,2.8
3.36,2.8
3.354,3.2
3.349,3.6
3.344,4
3.338,4
3.333,4
3.328,4
3.322,4
3.317,4
3.312,4
3.306,3.7
3.301,3.3
3.296,3.2
3.291,3.2
3.285,3.2
3.28,3.2
3.275,3.2
3.269,3.3
3.264,3.3
3.259,3.2
3.253,3.2
3.248,3.2
3.243,3.6
3.237,3.6
3.232,4
3.227,4.3
3.221,4.7
3.216,4.8
3.211,4.8
3.205,4.5
3.2,4.5
3.195,4.4
3.189,4.4
3.184,4.3
3.179,4.1
3.173,4
3.168,3.9
3.163,3.8
3.157,3.8
3.152,4
3.147,4.4
3.141,4.4
3.136,4.4
3.131,4
3.125,4
3.12,4
3.115,4.3
3.109,4.4
3.104,4.8
3.099,5.2
3.093,6
3.088,6.4
3.083,6.1
3.077,5.7
3.072,5.4
3.067,5.2
3.061,5.2
3.056,5.2
3.051,5.2
3.045,4.9
3.04,4.8
3.035,4.8
3.029,4.8
3.024,5.1
3.019,5.6
3.013,6.3
3.008,6.3
3.003,5.8
2.997,5.3
2.992,5
2.987,5
2.981,5
2.976,5.1
2.971,5.4
2.965,6.1
2.96,6.9
2.955,7.3
2.949,6.9
2.944,6.4
2.939,6
2.933,5.6
2.928,5.3
2.923,5.3
2.917,5.2
2.912,5.2
2.907,5.2
2.901,5.2
2.896,5.2
2.891,5.6
2.885,6.1
2.88,7.2
2.875,8
2.869,7.6
2.864,6.8
2.859,6.3
2.853,5.9
2.848,5.9
2.843,5.9
2.837,6
2.832,6.3
2.827,7.1
2.821,8.1
2.816,8.8
2.811,8.7
2.805,7.9
2.8,7.1
2.795,6.7
2.789,6.3
2.784,6
2.779,6
2.773,6
2.768,6
2.763,5.9
2.757,5.6
2.752,5.6
2.747,6
2.741,7
2.736,8
2.731,8.4
2.725,8.4
2.72,7.6
2.715,7
2.709,6.6
2.704,6.4
2.699,6.4
2.693,6.4
2.688,6.4
