alpha,I
3.195,3.6
3.189,3.6
3.184,3.2
3.179,3.2
3.173,3.2
3.168,3.2
3.163,2.8
3.157,2.8
3.152,2.8
3.147,2.8
3.141,3.2
3.136,3.6
3.131,3.6
3.125,3.2
3.12,3.6
3.115,3.6
3.109,4
3.104,4.4
3.099,4.8
3.093,4.8
3.088,4.8
3.083,4.8
3.077,4.8
3.072,4.8
3.067,4.8
3.061,4.4
3.056,4.4
3.051,4.4
3.045,4.4
3.04,4
3.035,4
3.029,3.6
3.024,3.6
3.019,4
3.013,4.4
3.008,4.8
3.003,4.8
2.997,4.4
2.992,4.4
2.987,4.4
2.981,4.4
2.976,4.8
2.971,5.2
2.965,5.6
2.96,5.6
2.955,5.2
2.949,4.8
2.944,4.8
2.939,4.8
2.933,4.4
2.928,4.4
2.923,4.4
2.917,4.4
2.912,4.4
2.907,4.4
2.901,4.4
2.896,4.4
2.891,4.4
2.885,4.4
2.88,4.8
2.875,5.6
2.869,6
2.864,6
2.859,5.6
2.853,5.2
2.848,5.2
2.843,5.2
2.837,5.6
2.832,6
2.827,6.8
2.821,6.8
2.816,6.4
2.811,6
2.805,5.6
2.8,5.2
2.795,5.2
2.789,4.8
2.784,4.8
2.779,4.8
2.773,4.8
2.768,4.8
2.763,4.8
2.757,4.4
2.752,4.4
2.747,4.4
2.741,4.8
2.736,5.2
2.731,6
2.725,6.8
2.72,6.8
2.715,6.4
2.709,6
2.704,6
2.699,5.6
2.693,6
2.688,6.4
2.683,7.2
2.677,7.6
2.672,7.2
2.667,6.4
2.661,5.6
2.656,5.2
2.651,4.8
2.645,4.8
2.64,4.8
2.635,4.8
2.629,4.8
2.624,4.8
2.619,4.8
2.613,4.8
2.608,4.8
2.602,4.8
2.597,4.8
2.592,5.2
2.586,5.6
2.581,6.8
2.576,8
2.57,8.4
2.565,8.4
2.56,8
2.554,7.6
2.549,7.2
2.544,7.2
2.538,7.2
2.533,7.6
2.528,8.4
2.522,8.8
2.517,8.8
2.512,8
2.506,7.2
2.501,6.4
2.496,5.6
2.49,5.2
2.485,5.2
2.48,4.8
2.474,4.8
2.469,4.8
2.464,4.8
2.458,4.8
2.453,4.8
2.448,4.8
2.442,5.2
2.437,5.2
2.432,5.6
2.426,6.4
2.421,7.6
2.416,8.8
2.41,10
2.405,10.4
2.4,10
2.394,9.2
2.389,8.8
2.384,8.4
2.378,8.4
2.373,8.8
2.368,9.2
2.362,10.4
2.357,11.2
2.352,10.8
2.346,10
2.341,8.8
2.336,7.6
2.33,6.8
2.325,6
2.32,5.6
2.314,5.2
2.309,5.2
2.304,5.2
2.298,5.2
2.293,5.2
2.288,5.2
2.282,5.2
2.277,5.6
2.272,6
2.266,6
2.261,6.4
2.256,7.2
2.25,8.4
2.245,10
2.24,11.6
2.234,12.8
2.229,12.8
2.223,12.4
2.218,11.6
2.213,11.2
2.207,10.8
2.202,10.4
2.197,10.8
2.191,11.6
2.186,12.8
2.181,14
2.175,14.4
2.17,13.6
2.165,12.4
2.159,10.8
2.154,9.6
2.149,8.4
2.143,7.6
2.138,6.8
2.133,6.4
2.127,6
2.122,6
2.117,6
2.111,6
2.106,6
2.101,6
2.095,6
2.09,6
2.085,6.4
2.079,6.8
2.074,7.2
2.069,8
2.063,9.6
2.058,11.6
2.053,14
2.047,16
2.042,16.4
2.037,16
2.031,14.8
2.026,13.6
2.021,13.2
2.015,12.8
2.01,12.4
2.005,12.8
1.999,14
1.994,15.6
1.989,17.6
1.983,18.4
1.978,17.6
1.972,16.4
1.967,14.8
1.962,13.2
1.956,11.2
1.951,10
1.946,8.8
1.94,8
1.935,7.6
1.93,7.2
1.924,6.8
1.919,6.4
1.914,6.4
1.908,6.4
1.903,6.4
1.898,6.4
1.892,6.4
1.887,6.8
1.882,6.8
1.876,7.2
1.871,8
1.866,8.8
1.86,10
1.855,12.4
1.85,15.2
1.844,18.4
1.839,20.8
1.834,21.6
1.828,20.8
1.823,19.2
1.818,17.6
1.812,16.4
1.807,15.6
1.802,15.2
1.796,15.2
1.791,16
1.786,17.6
1.78,20
1.775,22.8
1.769,24.8
1.764,24.8
1.759,23.2
1.753,20.8
1.748,18.4
1.743,16
1.737,14.4
1.732,12.8
1.727,11.6
1.721,10.4
1.716,9.6
1.711,9.2
1.705,8.8
1.7,8.4
1.695,8
1.689,8
1.684,8
1.679,7.6
1.673,7.6
1.668,7.6
1.663,8
1.657,8
1.652,8.4
1.647,8.8
1.641,9.6
1.636,10.4
1.631,12
1.625,14
1.62,17.2
1.615,21.2
1.609,25.2
1.604,28
1.599,28.8
1.593,28
1.588,26
1.582,24
1.577,22
1.572,20.4
1.566,19.6
1.561,19.2
1.556,19.6
1.55,20.4
1.545,22.4
