alpha,I
5.459,0
5.454,0
5.449,0
5.443,0
5.438,0
5.433,0
5.428,0
5.422,0
5.417,0
5.412,0
5.406,0
5.401,0
5.396,0
5.39,0
5.385,0
5.38,0
5.375,0
5.369,0
5.364,0
5.359,0
5.353,0
5.348,0
5.343,0
5.337,0
5.332,0
5.327,0
5.322,0
5.316,0
5.311,0
5.306,0
5.3,0
5.295,0
5.29,0
5.284,0
5.279,0
5.274,0
5.269,0
5.263,0
5.258,0
5.253,0
5.247,0
5.242,0
5.237,0
5.231,0
5.226,0
5.221,0
5.216,0
5.21,0
5.205,0
5.2,0
5.194,0
5.189,0
5.184,0
5.178,0
5.173,0
5.168,0
5.162,0
5.157,0
5.152,0
5.147,0
5.141,0
5.136,0
5.131,0
5.125,0
5.12,0
5.115,0
5.109,0
5.104,0
5.099,0
5.094,0
5.088,0
5.083,0
5.078,0
5.072,0
5.067,0
5.062,0
5.056,0
5.051,0
5.046,0
5.04,0
5.035,0
5.03,0
5.025,0
5.019,0
5.014,0
5.009,0
5.003,0
4.998,0
4.993,0
4.987,0
4.982,0
4.977,0
4.971,0
4.966,0
4.961,0
4.956,0
4.95,0
4.945,0
4.94,0
4.934,0
4.929,0
4.924,0
4.918,0
4.913,0
4.908,0
4.902,0
4.897,0
4.892,0
4.887,0
4.881,0
4.876,0
4.871,0
4.865,0
4.86,0
4.855,0
4.849,0
4.844,0
4.839,0.1
4.833,0.1
4.828,0.1
4.823,0.1
4.818,0.1
4.812,0
4.807,0
4.802,0
4.796,0
4.791,0
4.786,0
4.78,0
4.775,0
4.77,0
4.764,0
4.759,0.2
4.754,0.4
4.748,0.4
4.743,0.4
4.738,0.4
4.733,0.4
4.727,0.3
4.722,0.2
4.717,0.1
4.711,0.1
4.706,0
4.701,0
4.695,0
4.69,0
4.685,0
4.679,0.3
4.674,0.4
4.669,0.4
4.663,0.4
4.658,0.4
4.653,0.4
4.648,0.4
4.642,0.4
4.637,0.4
4.632,0.3
4.626,0.2
4.621,0.1
4.616,0.1
4.61,0.1
4.605,0.1
4.6,0.1
4.594,0.2
4.589,0.4
4.584,0.4
4.578,0.4
4.573,0.4
4.568,0.4
4.563,0.4
4.557,0.4
4.552,0.4
4.547,0.3
4.541,0.3
4.536,0.1
4.531,0.1
4.525,0.1
4.52,0
4.515,0
4.509,0
4.504,0.2
4.499,0.4
4.493,0.4
4.488,0.5
4.483,0.5
4.478,0.5
4.472,0.5
4.467,0.4
4.462,0.4
4.456,0.4
4.451,0.3
4.446,0.3
4.44,0.2
4.435,0.2
4.43,0.2
4.424,0.2
4.419,0.2
4.414,0.3
4.408,0.4
4.403,0.5
4.398,0.6
4.392,0.7
4.387,0.7
4.382,0.7
4.377,0.5
4.371,0.4
4.366,0.4
4.361,0.4
4.355,0.3
4.35,0.3
4.345,0.3
4.339,0.3
4.334,0.3
4.329,0.3
4.323,0.3
4.318,0.4
4.313,0.7
4.307,0.8
4.302,0.8
4.297,0.8
4.291,0.8
4.286,0.8
4.281,0.7
4.275,0.4
4.27,0.4
4.265,0.4
4.26,0.4
4.254,0.4
4.249,0.4
4.244,0.4
4.238,0.4
4.233,0.4
4.228,0.4
4.222,0.5
4.217,0.8
4.212,0.8
4.206,0.8
4.201,0.8
4.196,0.8
4.19,0.8
4.185,0.8
4.18,0.7
4.174,0.4
4.169,0.4
4.164,0.4
4.158,0.4
4.153,0.4
4.148,0.4
4.143,0.4
4.137,0.4
4.132,0.4
4.127,0.6
4.121,0.8
4.116,1
4.111,1.1
4.105,1.2
4.1,1.2
4.095,1.2
4.089,0.9
4.084,0.8
4.079,0.8
4.073,0.6
4.068,0.4
4.063,0.4
4.057,0.4
4.052,0.4
4.047,0.4
4.041,0.4
4.036,0.4
4.031,0.4
4.025,0.8
4.02,0.8
4.015,0.9
4.009,1.2
4.004,1.2
3.999,1.2
3.994,1.2
3.988,1.2
3.983,0.8
3.978,0.8
3.972,0.7
3.967,0.7
3.962,0.5
3.956,0.5
3.951,0.4
3.946,0.4
3.94,0.4
3.935,0.4
3.93,0.5
3.924,0.8
3.919,1.2
3.914,1.3
3.908,1.5
3.903,1.6
3.898,1.6
3.892,1.6
3.887,1.2
3.882,1.2
3.876,0.9
3.871,0.8
3.866,0.8
3.86,0.7
3.855,0.6
3.85,0.5
3.844,0.5
3.839,0.5
3.834,0.5
3.829,0.5
3.823,0.8
3.818,1
3.813,1.2
3.807,1.6
3.802,1.6
3.797,1.6
3.791,1.6
3.786,1.6
3.781,1.5
3.775,1.2
3.77,1.2
3.765,1
3.759,0.8
3.754,0.8
3.749,0.8
3.743,0.8
3.738,0.8
3.733,0.8
3.727,0.8
3.722,0.8
3.717,0.8
3.711,1.2
3.706,1.2
3.701,1.6
3.695,1.6
3.69,1.9
3.685,1.9
3.679,1.9
3.674,1.8
3.669,1.6
3.663,1.5
3.658,1.2
3.653,1.2
3.647,1.2
3.642,0.9
3.637,0.8
3.632,0.8
3.626,0.8
3.621,0.8
3.616,0.8
3.61,0.8
3.605,1.1
3.6,1.3
3.594,1.6
3.589,1.8
3.584,2
3.578,2
3.573,2
3.568,2
3.562,2
3.557,2
3.552,1.9
3.546,1.6
3.541,1.6
3.536,1.2
3.53,1.2
3.525,1.2
3.52,1.2
3.514,1.2
3.509,1.2
3.504,1.2
3.498,1.2
3.493,1.2
3.488,1.6
3.482,1.9
3.477,2
3.472,2.1
3.466,2.3
3.461,2.4
3.456,2.4
3.45,2.4
3.445,2.4
3.44,2.4
3.434,2.4
3.429,2
3.424,2
3.418,1.7
3.413,1.6
3.408,1.6
3.402,1.5
3.397,1.3
3.392,1.3
3.386,1.3
3.381,1.5
3.376,1.6
3.37,2
3.365,2.1
3.36,2.4
3.354,2.4
3.349,2.4
3.344,2.4
3.338,2.4
3.333,2.4
3.328,2.4
3.322,2.4
3.317,2.4
3.312,2.4
3.306,2.3
3.301,2
3.296,2
3.291,1.9
3.285,1.8
3.28,1.6
3.275,1.6
3.269,1.6
3.264,1.9
3.259,2
3.253,2.4
3.248,2.5
3.243,2.8
3.237,2.8
3.232,2.8
3.227,2.8
3.221,2.8
3.216,2.8
3.211,2.8
3.205,2.8
3.2,2.8
3.195,2.8
3.189,2.8
3.184,2.8
3.179,2.8
3.173,2.8
3.168,2.7
3.163,2.4
3.157,2.4
3.152,2.4
3.147,2.4
3.141,2.4
3.136,2.4
3.131,2.8
3.125,3.1
3.12,3.5
3.115,3.6
3.109,3.6
3.104,3.6
3.099,3.5
3.093,3.2
3.088,3.2
3.083,3.2
3.077,3.2
3.072,3.2
3.067,3.2
3.061,3.2
3.056,3.1
3.051,3
3.045,2.8
3.04,2.8
3.035,2.8
3.029,2.8
3.024,2.8
3.019,2.8
3.013,2.8
3.008,2.8
3.003,3.2
2.997,3.6
2.992,4.4
2.987,4.8
2.981,4.8
2.976,4.7
2.971,4.6
2.965,4.4
2.96,4
2.955,4
2.949,3.9
2.944,3.9
2.939,3.9
2.933,3.9
2.928,3.8
2.923,3.7
2.917,3.5
2.912,3.5
2.907,3.3
2.901,3.2
2.896,3.2
2.891,3.2
2.885,3.2
2.88,3.2
2.875,3.4
2.869,3.8
2.864,4.2
2.859,4.9
2.853,5.7
2.848,6.4
2.843,6.4
2.837,6
2.832,5.6
2.827,5.2
2.821,4.8
2.816,4.4
2.811,4
2.805,4
2.8,3.9
2.795,3.8
2.789,3.7
2.784,3.7
2.779,3.7
2.773,3.7
2.768,3.7
2.763,3.5
2.757,3.2
2.752,3.2
2.747,3.2
2.741,3.3
2.736,3.7
2.731,4
2.725,4.4
2.72,5.2
2.715,6
2.709,7.1
2.704,8
2.699,8.2
2.693,7.6
2.688,7.1
2.683,6.5
2.677,5.8
2.672,5.2
2.667,4.8
2.661,4.4
2.656,4.4
2.651,4.4
2.645,4.4
2.64,4.4
2.635,4.4
2.629,4.4
2.624,4.4
2.619,4.4
2.613,4.4
2.608,4.4
2.602,4.4
2.597,4.4
2.592,4.4
2.586,4.4
2.581,4.8
2.576,5.2
2.57,6
2.565,6.8
2.56,7.9
2.554,9.1
2.549,10.3
2.544,10.7
2.538,10
2.533,9.3
2.528,8.6
2.522,7.7
2.517,6.9
2.512,6
2.506,5.4
2.501,4.9
2.496,4.6
2.49,4.5
2.485,4.5
2.48,4.5
2.474,4.5
2.469,4.4
2.464,4.4
2.458,4.4
2.453,4.4
2.448,4.4
2.442,4.4
2.437,4.5
2.432,4.7
2.426,4.8
2.421,5.2
2.416,5.6
2.41,6.4
2.405,7.6
2.4,8.5
2.394,10
2.389,11.9
2.384,13.2
2.378,13.3
2.373,12.4
2.368,11.3
2.362,10.1
2.357,8.9
2.352,7.7
2.346,6.9
2.341,6.1
2.336,5.6
2.33,5.1
2.325,4.8
2.32,4.6
2.314,4.6
2.309,4.6
2.304,4.6
2.298,4.6
2.293,4.6
2.288,4.6
2.282,4.7
2.277,4.8
2.272,4.8
2.266,5
2.261,5.2
2.256,5.6
2.25,6
2.245,6.4
2.24,7.3
2.234,8.4
2.229,9.8
2.223,11.4
2.218,13.6
2.213,16.3
2.207,18.1
2.202,18.2
2.197,17.2
2.191,15.8
2.186,14.2
2.181,12.6
2.175,11.1
2.17,9.9
2.165,8.7
2.159,7.7
2.154,6.9
2.149,6.4
2.143,6
2.138,5.6
2.133,5.2
2.127,5.1
2.122,5
2.117,5
2.111,5
2.106,5
2.101,5
2.095,5
2.09,5.2
2.085,5.2
2.079,5.6
2.074,5.8
2.069,6
2.063,6.4
2.058,6.8
2.053,7.6
2.047,8.8
2.042,10.4
2.037,12.3
2.031,14.7
2.026,17.9
2.021,21.2
2.015,23.3
2.01,23.3
2.005,21.7
1.999,19.7
1.994,17.6
1.989,15.6
1.983,13.7
1.978,12.1
1.972,10.7
1.967,9.5
1.962,8.6
1.956,7.8
1.951,7.2
1.946,6.7
1.94,6.4
1.935,6
1.93,5.6
1.924,5.2
1.919,5.2
1.914,5.2
1.908,5.2
1.903,5.2
1.898,5.2
1.892,5.2
1.887,5.4
1.882,5.6
1.876,6
1.871,6.2
1.866,6.6
1.86,6.9
1.855,7.3
1.85,8.1
1.844,8.9
1.839,10.2
1.834,11.8
1.828,14.1
1.823,17.2
1.818,21.2
1.812,25.9
1.807,29.7
1.802,31.3
1.796,30.1
1.791,27.4
1.786,24.5
1.78,21.7
1.775,19.4
1.769,17.4
1.764,15.6
1.759,14.1
1.753,12.8
1.748,11.6
1.743,10.7
1.737,9.9
1.732,9.2
1.727,8.8
1.721,8.4
1.716,8
1.711,7.6
1.705,7.2
1.7,6.8
1.695,6.7
1.689,6.4
1.684,6.4
1.679,6.4
1.673,6.4
1.668,6.4
1.663,6.4
1.657,6.4
1.652,6.4
1.647,6.7
1.641,7.1
1.636,7.3
1.631,7.7
1.625,8.1
1.62,8.8
1.615,9.6
1.609,10.8
1.604,12.2
1.599,14.2
1.593,17
1.588,20.5
1.582,25.2
1.577,31.1
