Delay Time (ms),Voltage (V)
5,-7.95
10,-5.64
15,-3.71
20,-2.07
23,-1.11
27,0.72
30,1.52
35,2.63
40,3.46
45,4.29
50,4.85
55,5.31
60,5.96
65,6.31
70,6.71
75,6.99
80,7.38
85,7.67
90,7.86
95,8.05
100,8.24
