x,dx,t,Anet1,dAnet1,Agross1,Anet2,dAnet2,Agross2
13.1,0.02,70.22,617,6.2,1038,590,5.03,734
26.18,0.02,90,840,4.58,1159,467,7.1,783
39.19,0.02,90,453,8.66,996,222,2.46,634
52.53,0.02,120,605,6.81,1151,472,7.4,845
65.58,0.02,120,547,4.55,1028,590,5.16,758
