x,dx,t,Anet1,dAnet1,Agross1
5.42,0.02,60,2988,2.21,3673
11.26,0.02,60,1489,3.32,1965
16.91,0.02,60,961,3.96,1204
24.56,0.02,60,356,9.24,717
28.24,0.02,90,325,9.31,620
