Delay Time (ms),Voltage (V)
0.6,-9.11
3,-7.67
5.5,-6.42
8.5,-5.12
10,-4.56
11,-4.14
19,-1.45
22,-0.338
27,1.31
35,2.86
41,3.74
48,4.61
56,5.47
80,7.13
