Delay Time (ms),Voltage (V)
0.5,-5.6
1,-5.03
1.5,-4.45
2,-3.9
2.5,-3.38
3,-2.9
3.5,-2.43
4,-1.93
4.5,-1.53
5,-0.925
5.5,1.1
6,1.33
6.5,1.58
7,1.88
7.5,2.13
8,2.38
8.5,2.63
9,2.88
9.5,3.08
10,3.35
